id,סכום,שולם עד כה,נשאר לתשלום,מס תשלומים,גביה חודשית,יתרה בשנים,משולם עד סוף 2025 (החל מיוני),משולם בשנת 2026,משולם בשנת 2027,משולם מ-2028-2030 (3 שנים),משולם 2031-2035,data validation,לינק לתרומה
8.00,"₪25,000.00",0,"₪25,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6696113,"₪25,000.00","11,693.00","₪13,307.00",88.71,150,7.39,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,257.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6460890,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6259441,"₪25,000.00","10,377.00","₪14,623.00",292.46,50,24.37,₪350.00,₪600.00,₪600.00,"₪1,800.00","₪2,400.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6099250,"₪25,000.00","10,816.00","₪14,184.00",94.56,150,7.88,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪4,134.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
9634980,"₪25,000.00","17,677.00","₪7,323.00",48.82,150,4.07,"₪1,050.00","₪1,800.00","₪1,800.00","₪2,673.00",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6229027,"₪25,000.00","10,000.00","₪15,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
0892028,"₪10,000.00","10,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
0351546,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
0265852,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
0151201,"₪25,000.00","20,000.00","₪5,000.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
0024762,"₪25,000.00","21,000.00","₪4,000.00",4,"1,000.00",0.33,"₪4,000.00",₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
0.00,"₪25,000.00","4,259.00","₪20,741.00",,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
9977632,"₪25,000.00","9,721.00","₪15,279.00",55.01,277.77,4.58,"₪1,944.39","₪3,333.24","₪3,333.24","₪6,668.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
9890140,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
9499884,"₪25,000.00","11,650.00","₪13,350.00",89,150,7.42,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,300.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
9460506,"₪25,000.00","7,916.00","₪17,084.00",41,416.66,3.42,"₪2,916.62","₪4,999.92","₪4,999.92","₪4,167.54",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
9358155,"₪25,000.00","12,212.00","₪12,788.00",46.04,277.77,3.84,"₪1,944.39","₪3,333.24","₪3,333.24","₪4,177.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8761037,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8738134,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8710356,"₪25,000.00","12,527.00","₪12,473.00",83.15,150,6.93,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,423.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8419396,"₪25,000.00","13,499.00","₪11,501.00",76.67,150,6.39,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪1,451.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
8251880,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
7990345,"₪25,000.00","11,280.00","₪13,720.00",91.47,150,7.62,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪3,670.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
7741741,"₪25,000.00","8,055.00","₪16,945.00",61,277.77,5.08,"₪1,944.39","₪3,333.24","₪3,333.24","₪8,334.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
7397056,"₪25,000.00","25,000.00",₪0.00,,,,₪ -,₪ -,₪ -,₪ -,₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
7175783,"₪25,000.00","9,366.00","₪15,634.00",56.28,277.77,4.69,"₪1,944.39","₪3,333.24","₪3,333.24","₪7,023.13",₪ -,TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6976660,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6597482,"₪25,000.00","2,222.16","₪22,777.84",82,277.77,6.83,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪4,167.25",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
6292365,"₪25,000.00","5,277.00","₪19,723.00",71,277.77,5.92,"₪1,944.39","₪3,333.24","₪3,333.24","₪9,999.72","₪1,112.41",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5779719,"₪25,000.00","12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
5740414,"₪25,000.00","₪12,250.00","₪12,750.00",85,150,7.08,"₪1,050.00","₪1,800.00","₪1,800.00","₪5,400.00","₪2,700.00",TRUE,https://www.jgive.com/new/he/ils/charity-organizations/3508
